product_id,product_name,category,region,priority,price,user_id
1,Stapler,Stationery,West,Medium,47,2542
2,Highlighter,Stationery,North,High,119,
3,Sweater,Clothing,North,Low,4714,3028
4,Bench,Furniture,North,Medium,27496,
5,Desk,Furniture,Central,High,20479,9858
6,Charger,Electronics,East,Medium,24888,4078
7,Pen,Stationery,Central,Medium,298,
8,Stool,Furniture,Central,Low,22087,8424
9,Folder,Stationery,South,Medium,367,2341
10,Net,Sports,Central,Low,5777,5717
11,Ball,Sports,North,Medium,2852,3490
12,Sweater,Clothing,North,High,835,6140
13,Glue,Stationery,Central,Low,418,2533
14,Eraser,Stationery,North,Low,369,8301
15,Scissors,Stationery,East,Low,246,2918
16,T-Shirt,Clothing,South,Medium,1259,7519
17,Scarf,Clothing,North,Low,3490,3243
18,Belt,Clothing,East,Medium,3139,7233
19,Sofa,Furniture,North,Low,16701,1197
20,Gloves,Clothing,South,Low,233,9758
21,Highlighter,Stationery,Central,Low,74,9445
22,Bat,Sports,West,High,6578,7457
23,Mouse,Electronics,West,Low,10027,8219
24,Chair,Furniture,East,Medium,8209,
25,Wardrobe,Furniture,North,High,41721,
26,Bench,Furniture,West,Low,18031,6966
27,Jeans,Clothing,North,High,4017,6109
28,Monitor,Electronics,North,Medium,35902,3645
29,Bat,Sports,South,High,8804,9899
30,Speaker,Electronics,East,High,13128,5278
31,Dumbbell,Sports,South,Low,3800,9236
32,Marker,Stationery,Central,High,398,4922
33,Shoes,Clothing,South,Medium,3112,1457
34,Eraser,Stationery,East,Low,319,8327
35,Glue,Stationery,North,Low,126,6533
36,Stool,Furniture,Central,High,41494,8855
37,Pen,Stationery,North,High,410,4265
38,Jacket,Clothing,West,Medium,2923,7485
39,Sweater,Clothing,North,Medium,1592,1451
40,Bench,Furniture,West,High,11079,8771
41,Stapler,Stationery,Central,Medium,20,
42,Speaker,Electronics,South,Low,26733,4457
43,Camera,Electronics,South,Low,32727,6341
44,Ruler,Stationery,West,High,41,6796
45,Gloves,Clothing,Central,Low,4309,3487
46,Football,Sports,North,High,3150,3454
47,Sofa,Furniture,West,Medium,9386,6340
48,Football,Sports,Central,Low,1888,1930
49,Bookshelf,Furniture,East,Low,7905,1456
50,Mouse,Electronics,East,Medium,67463,4267
51,Eraser,Stationery,Central,Medium,254,5057
52,Net,Sports,Central,High,3469,3246
53,Jeans,Clothing,West,Low,794,8017
54,Headphones,Electronics,East,Medium,21443,6999
55,Lamp,Furniture,South,High,15890,2542
56,Scarf,Clothing,South,High,2032,8070
57,Yoga Mat,Sports,East,Low,5992,6995
58,Tablet,Electronics,Central,Low,3570,9477
59,Net,Sports,Central,High,1998,4744
60,Phone,Electronics,East,Low,24996,3122
61,Cap,Clothing,West,Low,4417,6358
62,Camera,Electronics,North,Medium,25231,2186
63,Notebook,Stationery,North,High,52,4643
64,Camera,Electronics,North,Low,45653,7844
65,Highlighter,Stationery,South,Low,373,2793
66,Lamp,Furniture,North,Low,21946,9701
67,Lamp,Furniture,West,Medium,13158,1297
68,Notebook,Stationery,North,Low,268,4104
69,Skipping Rope,Sports,South,High,1891,8080
70,Belt,Clothing,West,High,2721,4761
71,Marker,Stationery,South,Low,187,3126
72,Phone,Electronics,East,Low,8461,7240
73,Net,Sports,Central,Low,4951,
74,Sofa,Furniture,East,Low,18751,6389
75,Dumbbell,Sports,South,Low,5221,3997
76,Tablet,Electronics,West,Low,37759,4292
77,Wardrobe,Furniture,North,Low,7382,1682
78,T-Shirt,Clothing,East,Low,2107,9670
79,Bench,Furniture,West,Medium,48730,3448
80,Highlighter,Stationery,South,Low,437,9404
81,Belt,Clothing,South,High,4331,1263
82,Helmet,Sports,North,Low,2330,2718
83,Scarf,Clothing,Central,Low,354,5006
84,Cap,Clothing,North,Low,774,9240
85,Ball,Sports,Central,Low,7913,2219
86,Marker,Stationery,South,Low,342,9092
87,Jeans,Clothing,West,High,2553,4248
88,Charger,Electronics,South,Low,41100,3186
89,Mouse,Electronics,North,Low,14244,9021
90,Ruler,Stationery,East,Low,248,9996
91,Lamp,Furniture,North,High,2647,2252
92,Skipping Rope,Sports,East,Low,3602,
93,Monitor,Electronics,Central,Low,48327,9335
94,Pen,Stationery,East,Low,469,7456
95,Monitor,Electronics,North,High,60282,3305
96,Socks,Clothing,West,Low,2914,
97,Scissors,Stationery,North,High,110,5748
98,Glue,Stationery,North,Low,455,6909
99,Cap,Clothing,North,Low,622,5679
100,Bookshelf,Furniture,East,Low,22183,7116
101,T-Shirt,Clothing,West,High,4739,2320
102,Keyboard,Electronics,West,Medium,19362,5689
103,T-Shirt,Clothing,Central,Low,4068,5616
104,Folder,Stationery,East,Low,132,7461
105,Monitor,Electronics,South,Low,66815,9144
106,Helmet,Sports,West,High,7522,9974
107,Bookshelf,Furniture,North,Low,37929,4917
108,Folder,Stationery,Central,Low,20,7763
109,Sweater,Clothing,Central,Low,2413,2016
110,Cap,Clothing,Central,High,1231,9670
111,Chair,Furniture,East,High,26702,8304
112,Cap,Clothing,North,Low,3683,8754
113,Skipping Rope,Sports,North,Low,8798,8355
114,Chair,Furniture,South,Low,35733,2784
115,Jeans,Clothing,Central,Medium,211,4810
116,Bat,Sports,East,High,4275,8166
117,Phone,Electronics,North,Low,77600,5274
118,Bench,Furniture,North,Low,21260,5564
119,Marker,Stationery,West,Medium,290,7747
120,Notebook,Stationery,North,Low,463,7881
121,Camera,Electronics,South,Medium,49725,1558
122,Scissors,Stationery,East,Medium,111,
123,Ruler,Stationery,North,Low,112,4177
124,Stool,Furniture,South,Low,20828,9122
125,Racket,Sports,South,Low,1074,3398
126,T-Shirt,Clothing,South,Low,5083,1849
127,Monitor,Electronics,West,Low,42382,2300
128,Table,Furniture,South,Low,35893,1522
129,Scissors,Stationery,East,High,236,1047
130,Camera,Electronics,North,Low,17414,4398
131,Socks,Clothing,East,High,3742,8757
132,Table,Furniture,Central,High,14150,8774
133,Keyboard,Electronics,South,High,54254,
134,Mouse,Electronics,North,High,9326,2029
135,Dumbbell,Sports,East,Low,864,6185
136,Folder,Stationery,North,Medium,314,2070
137,Headphones,Electronics,North,Low,62245,7332
138,Scissors,Stationery,West,Low,264,5969
139,Bench,Furniture,South,Low,22441,2294
140,Helmet,Sports,West,Medium,4201,1554
141,Belt,Clothing,Central,Low,3694,2182
142,Highlighter,Stationery,North,Low,225,8323
143,Bookshelf,Furniture,South,Low,42152,4849
144,Ball,Sports,East,Low,4535,5265
145,Stool,Furniture,South,Low,16933,4084
146,Pen,Stationery,West,Low,135,4790
147,Mouse,Electronics,North,Low,63428,4786
148,Socks,Clothing,North,High,2107,4105
149,Frisbee,Sports,South,High,6248,3912
150,Gloves,Clothing,East,Medium,5645,2733
151,Frisbee,Sports,East,Low,6190,1723
152,Lamp,Furniture,North,Medium,44206,1186
153,Scissors,Stationery,East,Low,169,
154,Mouse,Electronics,Central,Low,54699,7476
155,Racket,Sports,Central,Low,2831,5442
156,Cap,Clothing,East,Low,620,6852
157,Sweater,Clothing,North,High,3180,7401
158,Shoes,Clothing,North,Low,1482,2482
159,Gloves,Clothing,East,Low,1531,1846
160,Racket,Sports,West,Low,6225,3812
161,Table,Furniture,East,Low,12758,2782
162,Scarf,Clothing,South,Low,556,8909
163,Notebook,Stationery,Central,High,208,3625
164,Bench,Furniture,West,Medium,14352,3997
165,Helmet,Sports,North,Low,8635,6885
166,Monitor,Electronics,South,High,26443,
167,Bat,Sports,East,Low,7616,6017
168,Cap,Clothing,Central,Low,3388,8320
169,Skipping Rope,Sports,South,Low,8169,8320
170,Skipping Rope,Sports,South,High,6709,3104
171,Scissors,Stationery,East,Low,236,1667
172,Monitor,Electronics,North,High,42320,9380
173,Laptop,Electronics,Central,High,19050,
174,Charger,Electronics,North,Low,65670,3705
175,Chair,Furniture,East,Medium,18029,5505
176,Jacket,Clothing,East,Medium,4133,5306
177,Football,Sports,South,Low,753,7610
178,Lamp,Furniture,East,High,12558,5330
179,Speaker,Electronics,North,Medium,48356,8422
180,Football,Sports,Central,Medium,1863,9776
181,Socks,Clothing,East,Low,3222,6902
182,Pen,Stationery,West,Low,325,1791
183,Ruler,Stationery,East,Low,455,6122
184,Laptop,Electronics,South,Low,57853,6965
185,Monitor,Electronics,West,Low,7174,
186,Charger,Electronics,East,Low,69762,4674
187,Gloves,Clothing,East,Medium,1872,8780
188,Sofa,Furniture,North,High,17463,8386
189,Phone,Electronics,South,High,36558,5329
190,Laptop,Electronics,Central,High,79151,8270
191,Football,Sports,West,Low,156,
192,Bat,Sports,West,Low,2758,
193,Laptop,Electronics,Central,Medium,27055,4268
194,Frisbee,Sports,Central,Medium,6953,3861
195,Net,Sports,North,Low,944,8830
196,Bat,Sports,West,High,7772,8413
197,Bookshelf,Furniture,North,Low,43706,
198,Folder,Stationery,North,Low,293,9572
199,Folder,Stationery,South,Low,269,
200,Marker,Stationery,South,High,392,4144
201,Socks,Clothing,Central,Low,5366,9787
