item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O01278,P0255,5,608.43,0
I00002,O01191,P0325,1,957.2,10
I00003,O00457,P0437,4,875.35,25
I00004,O01754,P0196,4,625.09,0
I00005,O01872,P0180,4,1305.92,15
I00006,O01442,P0465,4,566.5,0
I00007,O00459,P0482,5,313.1,10
I00008,O00542,P0138,3,208.09,15
I00009,O01844,P0345,4,118.25,0
I00010,O01619,P0462,-6,286.71,25
I00011,O00651,P0420,3,747.08,0
I00012,O00881,P0492,2,1026.01,25
I00013,O01263,P0499,4,318.76,0
I00014,O00879,P0411,2,183.18,15
I00015,O01852,P0373,3,485.25,25
I00016,O00204,P0082,2,435.71,25
I00017,O01607,P0061,4,97.21,10
I00018,O01943,P0429,3,15.93,5
I00019,O00896,P0048,1,216.09,30
I00020,O01450,P0079,5,179.56,0
I00021,O01521,P0293,2,57.71,20
I00022,O00734,P0325,2,1030.6,5
I00023,O00609,P0335,2,786.73,25
I00024,O01598,P0431,4,788.65,10
I00025,O00170,P0338,2,826.55,0
I00026,O01776,P0327,1,327.75,0
I00027,O00252,P0236,1,1323.14,0
I00028,O00370,P0145,1,907.25,0
I00029,O01870,P0254,2,376.26,15
I00030,O00045,P0052,4,1027.03,0
I00031,O00157,P0250,2,1326.92,15
I00032,O01298,P0193,4,425.46,0
I00033,O01851,P0093,2,50.63,30
I00034,O00065,P0324,1,190.29,10
I00035,O01258,P0178,5,1089.58,25
I00036,O01519,P0003,3,492.06,0
I00037,O01098,P0099,1,1089.58,25
I00038,O00443,P0263,3,215.84,0
I00039,O00671,P0461,2,126.26,5
I00040,O01925,P0043,2,859.19,10
I00041,O01953,P0141,-1,270.93,10
I00042,O00603,P0363,4,567.83,20
I00043,O00820,P0224,2,999.76,10
I00044,O01733,P0089,3,997.51,15
I00045,O01570,P0053,5,991.22,10
I00046,O01954,P0085,4,653.94,15
I00047,O01222,P0453,3,68.78,10
I00048,O00785,P0319,4,13.01,5
I00049,O01839,P0291,-1,1113.31,20
I00050,O01963,P0086,5,1048.33,10
I00051,O01237,P0301,5,780.66,10
I00052,O00369,P0204,3,592.55,15
I00053,O00503,P0405,1,814.71,5
I00054,O00298,P0337,3,1109.28,0
I00055,O00023,P0005,3,968.45,5
I00056,O00659,P0239,2,835.36,25
I00057,O01233,P0034,2,773.65,25
I00058,O00570,P0112,5,155.5,0
I00059,O00864,P0462,-6,304.9,10
I00060,O00404,P0417,1,777.81,20
I00061,O00563,P0256,4,333.64,0
I00062,O01232,P0064,3,350.3,30
I00063,O00044,P0197,3,636.94,0
I00064,O01180,P0330,1,1305.81,20
I00065,O01981,P0146,4,310.73,0
I00066,O01081,P0459,1,440.85,10
I00067,O00963,P0331,1,225.16,15
I00068,O00650,P0371,3,15.75,15
I00069,O00642,P0041,4,123.42,30
I00070,O01427,P0025,4,957.48,20
I00071,O01865,P0435,1,273.84,10
I00072,O00060,P0481,2,1069.99,0
I00073,O00216,P0423,3,877.9,15
I00074,O00392,P0116,3,428.12,25
I00075,O01778,P0003,1,668.91,10
I00076,O00227,P0453,1,78.3,10
I00077,O01409,P0039,5,72.5,15
I00078,O01895,P0139,2,1146.47,30
I00079,O00654,P0236,2,958.23,30
I00080,O01834,P0455,4,717.97,20
I00081,O01081,P0343,2,813.78,30
I00082,O02000,P0245,3,530.76,10
I00083,O00463,P0396,1,259.74,10
I00084,O00170,P0393,3,208.11,25
I00085,O01351,P0428,2,187.47,0
I00086,O00124,P0039,2,95.18,0
I00087,O01677,P0344,4,406.7,5
I00088,O00428,P0250,5,943.68,25
I00089,O01558,P0264,3,507.54,20
I00090,O01034,P0336,1,782.19,0
I00091,O00790,P0113,4,1375.44,30
I00092,O00820,P0263,2,172.22,0
I00093,O01406,P0143,3,1067.36,30
I00094,O00945,P0332,1,691.78,0
I00095,O00944,P0124,2,21.21,10
I00096,O01088,P0015,4,633.43,10
I00097,O01128,P0136,1,889.28,10
I00098,O00813,P0221,5,45.14,15
I00099,O00904,P0261,3,810.94,10
I00100,O00784,P0051,4,325.64,5
I00101,O00362,P0151,5,1024.4,10
I00102,O01063,P0272,4,570.08,0
I00103,O00510,P0349,1,850.34,5
