order_id,customer_id,order_date,status,region_code
O00001,C0353,2026-04-29 16:15:01,DELIVERED,WEST
O00002,C0277,2025-10-20 16:00:39,PLACED,CENTRAL
O00003,C0225,2026-03-13 16:33:50,CANCELLED,EAST
O00004,C0060,2026-02-15 08:50:03,DELIVERED,CENTRAL
O00005,C0239,2025-08-31 23:37:19,PLACED,SOUTH
O00006,C0273,2026-04-21 15:10:25,DELIVERED,NORTH
O00007,C0783,2026-04-04 14:31:55,DELIVERED,WEST
O00008,,2025-06-28 22:13:37,SHIPPED,CENTRAL
O00009,C0326,2026-07-06 15:38:17,DELIVERED,CENTRAL
O00010,C0029,2026-06-09 14:19:40,DELIVERED,CENTRAL
O00011,C0578,2024-10-19 08:58:43,DELIVERED,SOUTH
O00012,C0505,2026-05-28 12:58:03,SHIPPED,WEST
O00013,C0039,2025-12-05 01:15:35,PLACED,CENTRAL
O00014,C0225,2026-03-11 20:52:16,DELIVERED,NORTH
O00015,C0340,2026-07-02 22:49:30,DELIVERED,SOUTH
O00016,C0349,2026-03-06 20:41:10,SHIPPED,EAST
O00017,C0061,2025-03-30 00:29:09,PLACED,SOUTH
O00018,C0793,2025-07-25 03:42:34,DELIVERED,EAST
O00019,C0075,2025-04-17 04:14:12,DELIVERED,WEST
O00020,C0601,2025-03-13 11:22:34,SHIPPED,EAST
O00021,NULL,2024-10-31 08:05:06,DELIVERED,WEST
O00022,C0655,2025-07-14 10:03:59,DELIVERED,SOUTH
O00023,C0725,2026-06-09 03:00:14,DELIVERED,CENTRAL
O00024,C0366,2025-11-17 16:43:17,DELIVERED,SOUTH
O00025,C0388,2025-02-24 07:35:58,DELIVERED,EAST
O00026,C0131,2026-02-04 00:21:40,DELIVERED,CENTRAL
O00027,C0401,2026-06-12 04:39:40,PLACED,CENTRAL
O00028,C0326,2026-05-18 10:29:07,SHIPPED,CENTRAL
O00029,C0107,2026-07-08 22:38:26,DELIVERED,EAST
O00030,,2026-05-26 18:39:04,SHIPPED,EAST
O00031,C0172,2025-08-18 21:58:21,DELIVERED,EAST
O00032,C0458,2024-07-09 20:25:47,SHIPPED,SOUTH
O00033,C0710,24-05-2026 13:58:23,DELIVERED,NORTH
O00034,C0738,2025-02-12 23:52:57,PLACED,WEST
O00035,C0751,2026-04-22 23:27:05,RETURNED,WEST
O00036,C0505,2026-03-26 01:51:25,DELIVERED,WEST
O00037,C0104,16-04-2026 05:09:49,DELIVERED,CENTRAL
O00038,C0667,2026-06-03 05:40:15,DELIVERED,SOUTH
O00039,C0463,2027-02-21 00:00:00,DELIVERED,NORTH
O00040,C0302,2024-12-16 14:16:51,SHIPPED,NORTH
O00041,C0076,2026-05-15 04:28:15,SHIPPED,WEST
O00042,C0165,2025-12-16 03:04:23,DELIVERED,NORTH
O00043,C0347,2026-04-30 09:31:54,RETURNED,WEST
O00044,C0722,2026-04-12 00:13:09,DELIVERED,SOUTH
O00045,C0622,2025-10-08 06:04:54,SHIPPED,NORTH
O00046,C0340,2024-12-26 15:44:18,RETURNED,WEST
O00047,C0714,2025-09-04 09:24:15,DELIVERED,CENTRAL
O00048,C0272,2025-11-26 02:26:14,SHIPPED,SOUTH
O00049,C0099,2025-04-05 13:16:18,DELIVERED,CENTRAL
O00050,C0503,2024-10-28 07:07:26,PLACED,NORTH
O00051,C0438,2025-06-17 01:30:39,SHIPPED,CENTRAL
O00052,C0492,2025-11-05 02:12:29,PLACED,SOUTH
O00053,C0175,2026-04-12 20:22:05,SHIPPED,NORTH
O00054,C0485,2025-10-04 20:37:16,SHIPPED,WEST
O00055,C0483,2025-11-01 21:25:31,CANCELLED,EAST
O00056,C0094,2025-11-11 13:15:23,DELIVERED,SOUTH
O00057,C0380,2026-05-19 18:46:48,DELIVERED,SOUTH
O00058,C0457,2024-08-04 15:43:11,SHIPPED,WEST
O00059,C0270,2026-02-28 20:43:51,DELIVERED,CENTRAL
O00060,C0064,2024-11-16 09:16:47,DELIVERED,NORTH
O00061,C0088,2026-02-20 23:03:15,SHIPPED,CENTRAL
O00062,C0424,2026-05-26 18:41:21,DELIVERED,CENTRAL
O00063,C0063,2026-04-15 01:35:42,DELIVERED,CENTRAL
O00064,C0429,2025-08-20 22:42:43,DELIVERED,WEST
O00065,C0587,2026-05-16 19:13:09,SHIPPED,EAST
O00066,C0081,2025-09-04 15:41:12,CANCELLED,NORTH
O00067,C0515,2026-06-11 20:09:20,CANCELLED,CENTRAL
O00068,C0694,2026-03-24 18:43:44,PLACED,WEST
O00069,C0178,2024-12-31 20:10:38,RETURNED,SOUTH
O00070,C0130,2025-10-09 13:46:05,DELIVERED,WEST
O00071,C0207,2026-04-30 04:20:38,PLACED,CENTRAL
O00072,C0265,2025-04-30 08:33:44,CANCELLED,NORTH
O00073,C0090,2025-10-11 10:41:33,DELIVERED,CENTRAL
O00074,C0334,2026-05-25 08:37:55,SHIPPED,WEST
O00075,NULL,2026-07-09 22:37:51,DELIVERED,NORTH
O00076,C0425,2025-08-21 02:46:03,PLACED,CENTRAL
O00077,C0597,2026-02-10 01:10:44,RETURNED,NORTH
O00078,C0109,2026-04-21 01:11:07,DELIVERED,EAST
O00079,C0549,2026-02-07 02:11:09,CANCELLED,EAST
O00080,C0393,2025-11-21 14:07:36,DELIVERED,CENTRAL
O00081,C0485,2025-09-04 13:12:19,SHIPPED,WEST
O00082,C0148,2025-10-24 04:54:45,DELIVERED,WEST
O00083,C0040,2025-05-04 10:06:41,CANCELLED,EAST
O00084,C0708,2026-02-24 03:11:59,PLACED,WEST
O00085,C0276,2026-01-15 15:23:56,PLACED,EAST
O00086,C0319,2026-02-25 21:01:12,DELIVERED,NORTH
O00087,C0234,2025-08-12 09:07:39,SHIPPED,WEST
O00088,C0793,2026-01-04 05:25:08,SHIPPED,WEST
O00089,C0620,2025-12-27 16:12:49,SHIPPED,SOUTH
O00090,C0417,2026-06-13 12:12:43,DELIVERED,CENTRAL
O00091,C0383,2025-03-29 15:45:08,DELIVERED,SOUTH
O00092,C0068,2025-11-06 19:52:38,DELIVERED,WEST
O00093,C0139,2026-06-28 21:40:31,CANCELLED,NORTH
O00094,C0178,2025-01-20 17:22:15,CANCELLED,SOUTH
