product_id,product_name,category,subcategory,cost_price
P0001,Ayala Smart Guidebook,Books,Comics,784.68
P0002,Garrett Smart Sweater,Clothing,Sportswear,685.24
P0003,Cameron Portable Guidebook,Books,Fiction,379.96
P0004,Turner Pro Textbook,Books,Comics,771.97
P0005,Tyler Compact Socks,Clothing,Sportswear,696.15
P0006,Pierce Pro Journal,Books,Fiction,15.23
P0007,Jones Eco Scarf,Clothing,Footwear,62.64
P0008,Zimmerman Portable Wall Clock,Home,Decor,319.79
P0009,Fox Vintage Webcam,Electronics,Audio,687.9
P0010,  krueger essential encyclopedia  ,Books,Academic,31.61
P0011,Meyer Vintage Smartwatch,Electronics,Laptops,736.98
P0012,Hartman Premium Sweater,Clothing,Men,609.01
P0013,Moore Portable Headphones,Electronics,Accessories,241.67
P0014,Daniels Classic Keyboard,Electronics,Mobiles,236.81
P0015,Powell Smart Lamp,Home,Bedding,426.34
P0016,Bailey Premium Jacket,Clothing,Women,488.76
P0017,Ware Pro Comic Book,Books,Self-Help,730.52
P0018,Alvarado Vintage Shorts,Clothing,Women,205.42
P0019,Rivera Ultra Organizer,Home,Kitchen,543.06
P0020,Carter Compact Shorts,Clothing,Men,790.16
P0021,Clements Ultra Dinner Set,Home,Bedding,367.1
P0022,Montgomery Pro Bedsheet,Home,Furniture,88.0
P0023,Wells Modern Guidebook,Books,Self-Help,238.81
P0024,Hoffman Deluxe Coffee Maker,Home,Kitchen,221.76
P0025,Goodwin Pro Power Bank,Electronics,Cameras,666.77
P0026,Banks Compact Wall Clock,Home,Furniture,177.55
P0027,Wilson Vintage Hoodie,Clothing,Sportswear,605.2
P0028,Reed Vintage Scarf,Clothing,Men,34.42
P0029,Allen Compact Atlas,Books,Fiction,586.69
P0030,May Portable Keyboard,Electronics,Audio,334.16
P0031,Sellers Compact Cap,Clothing,Women,426.09
P0032,Sanchez  Pro  Bookshelf,Home,Furniture,774.01
P0033,Williams Pro Cookware Set,Home,Decor,770.43
P0034,Blackwell Portable Scarf,Clothing,Women,540.5
P0035,James Premium Guidebook,Books,Self-Help,633.17
P0036,Hogan Premium Camera,Electronics,Audio,365.46
P0037,Wilson Vintage Bedsheet,Home,Storage,752.41
P0038,Scott Classic Monitor,Electronics,Laptops,496.78
P0039,Ramsey Vintage Cushion,Home,Storage,53.38
P0040,Johnson Premium Anthology,Books,Academic,114.4
P0041,Black Premium Monitor,Electronics,Audio,80.46
P0042,Townsend Compact Shorts,Clothing,Footwear,537.38
P0043,Robertson Deluxe Textbook,Books,Self-Help,524.97
P0044,Hicks Ultra Anthology,Books,Self-Help,29.07
P0045,  tucker pro organizer  ,Home,Furniture,760.59
P0046,Phillips Compact Coffee Maker,Home,Kitchen,436.94
P0047,Pearson Ultra Bedsheet,Home,Kitchen,154.28
P0048,Flores Vintage Laptop,Electronics,Accessories,172.05
P0049,Miller Compact Earbuds,Electronics,Mobiles,197.12
P0050,Davis Premium Sneakers,Clothing,Sportswear,664.36
P0051,Bonilla Smart Sneakers,Clothing,Sportswear,264.86
P0052,Ayala Ultra T-Shirt,Clothing,Sportswear,687.15
P0053,Ferguson Ultra Cap,Clothing,Women,639.42
P0054,Sims Classic Headphones,Electronics,Mobiles,288.52
P0055,Clark Classic Dress,Clothing,Sportswear,141.87
P0056,Soto Deluxe Power Bank,Electronics,Laptops,422.29
P0057,Lewis Compact Monitor,Electronics,Accessories,412.05
P0058,Jennings Smart Camera,Electronics,Accessories,756.5
P0059,Houston Pro Charger,Electronics,Cameras,515.74
P0060,Harris Deluxe Monitor,Electronics,Mobiles,342.74
P0061,Poole Pro Power Bank,Electronics,Accessories,61.57
P0062,Johns Eco Tablet,Electronics,Audio,55.35
P0063,Figueroa Modern Coffee Maker,Home,Storage,440.04
P0064,Graham Essential Wall Clock,Home,Bedding,238.03
P0065,Montoya Vintage Biography,Books,Fiction,521.78
P0066,Jones Smart Shorts,Clothing,Footwear,332.81
P0067,Parks Portable Anthology,Books,Comics,78.78
P0068,Johnson Compact Cookbook,Books,Academic,763.01
P0069,Love Premium Biography,Books,Fiction,77.3
P0070,Johnson Eco Earbuds,Electronics,Audio,446.43
P0071,  jones compact bedsheet  ,Home,Kitchen,699.27
P0072,Thompson Modern Cookbook,Books,Fiction,252.02
P0073,King Smart Camera,Electronics,Cameras,126.32
P0074,Jones Compact Biography,Books,Non-Fiction,676.76
P0075,Underwood Modern Bookshelf,Home,Kitchen,183.25
P0076,Bartlett Modern Atlas,Books,Self-Help,540.96
P0077,Russell Vintage Router,Electronics,Cameras,664.08
P0078,Hayes Ultra Lamp,Home,Kitchen,563.05
P0079,Sullivan Classic Curtains,Home,Decor,147.58
P0080,Stewart Deluxe Scarf,Clothing,Sportswear,58.46
P0081,Price Essential Power Bank,Electronics,Mobiles,174.46
P0082,Wilson Eco Guidebook,Books,Comics,297.93
P0083,Smith Premium Wall Clock,Home,Storage,707.02
P0084,Cortez Classic Socks,Clothing,Women,540.15
P0085,Brown Deluxe Coffee Maker,Home,Bedding,390.07
P0086,Reese Smart Cookbook,Books,Comics,604.69
P0087,Williams Premium Mouse,Electronics,Audio,228.75
P0088,Charles Classic Cookbook,Books,Self-Help,178.75
P0089,Howard Ultra Speaker,Electronics,Mobiles,756.42
P0090,Shaw Compact Hoodie,Clothing,Kids,98.63
P0091,Roberts Eco Textbook,Books,Comics,306.03
P0092,Jennings Vintage Cap,Clothing,Sportswear,645.54
P0093,Obrien Portable Webcam,Electronics,Accessories,36.71
