category,product_name,total_revenue,rank_in_category
Books,Brown Vintage Guidebook,49037.64,1
Books,Bell Modern Guidebook,40447.57,2
Books,Turner Pro Textbook,38100.77,3
Books,Fernandez Eco Guidebook,35799.42,4
Books,Hardin Pro Cookbook,35162.05,5
Books,Baker Ultra Encyclopedia,32810.41,6
Books,Moore Compact Textbook,32394.36,7
Books,James Premium Guidebook,32006.14,8
Books,Walters Compact Atlas,31985.63,9
Books,Moore Deluxe Biography,30879.93,10
Books,Holmes Eco Atlas,29452.27,11
Books,Reese Smart Cookbook,29061.38,12
Books,Schmidt Pro Comic Book,28983.18,13
Books,Murphy Essential Biography,28741.43,14
Books,Reed Classic Textbook,28214.6,15
Books,Scott Vintage Textbook,28086.76,16
Books,Johnson Compact Cookbook,28079.85,17
Books,Jones Compact Biography,27616.94,18
Books,Mcintosh Portable Anthology,27544.72,19
Books,Velez Premium Novel,27261.16,20
Books,Charles Deluxe Novel,24859.53,21
Books,Mcclain Eco Biography,24709.46,22
Books,Taylor Portable Comic Book,24605.81,23
Books,Smith Ultra Atlas,24605.29,24
Books,Atkinson Premium Encyclopedia,24323.41,25
Books,Green Deluxe Anthology,23806.49,26
Books,Bartlett Modern Atlas,23203.27,27
Books,Jackson Ultra Comic Book,23191.87,28
Books,Cohen Vintage Textbook,23061.81,29
Books,Dennis Classic Journal,22863.05,30
Books,Lewis Vintage Textbook,22782.29,31
Books,Howard Pro Encyclopedia,21061.2,32
Books,Montoya Vintage Biography,20744.01,33
Books,Garcia Classic Comic Book,20303.43,34
Books,Costa Vintage Biography,20277.41,35
Books,Hampton Classic Encyclopedia,20086.03,36
Books,Maynard Compact Comic Book,19851.08,37
Books,Ware Pro Comic Book,19492.32,38
Books,Pace Modern Novel,19489.51,39
Books,Coleman Eco Cookbook,19403.7,40
Books,Reynolds Essential Novel,19381.44,41
Books,Hall Modern Cookbook,19167.01,42
Books,King Eco Textbook,18018.56,43
Books,Davis Portable Textbook,17952.98,44
Books,Gonzalez Eco Biography,17473.98,45
Books,Jones Pro Biography,17256.11,46
Books,Spencer Essential Comic Book,17140.33,47
Books,Potter Deluxe Cookbook,17090.1,48
Books,Carr Ultra Textbook,17086.91,49
Books,Scott Deluxe Guidebook,16227.15,50
Books,Cameron Portable Guidebook,16224.09,51
Books,Gregory Classic Novel,16029.05,52
Books,Hunter Compact Anthology,15955.27,53
Books,Williams Essential Journal,15917.01,54
Books,Wright Vintage Cookbook,15479.34,55
Books,Gomez Smart Guidebook,15187.69,56
Books,Ward Pro Textbook,15172.2,57
Books,Nielsen Eco Journal,13824.22,58
Books,Robertson Deluxe Textbook,13748.22,59
Books,Allen Compact Atlas,13325.48,60
Books,Matthews Compact Encyclopedia,13010.36,61
Books,Wilson Eco Guidebook,12797.83,62
Books,Allen Eco Novel,12752.36,63
Books,Bradley Smart Journal,12540.18,64
Books,Crosby Portable Cookbook,12471.16,65
Books,Williams Smart Atlas,12238.34,66
Books,Young Smart Cookbook,11958.97,67
Books,Rubio Modern Textbook,11802.16,68
Books,Johns Portable Textbook,11686.79,69
Books,Stephens Compact Comic Book,11476.76,70
Books,Macdonald Classic Atlas,11231.82,71
Books,Ayala Premium Journal,10782.35,72
Books,Mclaughlin Pro Guidebook,10690.89,73
Books,Brooks Premium Novel,10327.6,74
Books,Price Portable Novel,10149.33,75
Books,Robinson Eco Novel,10076.3,76
Books,Stewart Modern Novel,10044.32,77
Books,Roberts Eco Textbook,9884.6,78
Books,Jones Essential Biography,9806.88,79
Books,Powers Pro Comic Book,9800.06,80
Books,Ayala Smart Guidebook,9505.15,81
Books,Hill Essential Textbook,9097.71,82
Books,Ramos Premium Anthology,9024.4,83
Books,Douglas Vintage Journal,8355.91,84
Books,Thompson Modern Cookbook,8352.32,85
Books,Campbell Pro Journal,8274.15,86
Books,Brennan Smart Encyclopedia,8165.81,87
Books,Thomas Eco Comic Book,8163.69,88
Books,Mack Portable Novel,8157.8,89
Books,Miller Eco Guidebook,7030.82,90
Books,Thompson Compact Encyclopedia,6960.46,91
Books,Hansen Vintage Textbook,6643.87,92
Books,Miller Premium Textbook,6642.64,93
Books,Wells Modern Guidebook,6552.89,94
Books,Mitchell Pro Encyclopedia,6397.59,95
Books,Dixon Deluxe Cookbook,6352.63,96
Books,Branch Modern Comic Book,6022.81,97
Books,Lane Compact Novel,5467.12,98
Books,Joseph Vintage Novel,5103.35,99
Books,Mays Portable Comic Book,5020.24,100
Books,Kaufman Essential Comic Book,5008.6,101
Books,Rich Smart Textbook,5001.65,102
Books,Charles Classic Cookbook,4851.64,103
Books,Nicholson Smart Anthology,4842.11,104
Books,Arnold Modern Biography,4769.28,105
Books,Logan Portable Biography,4715.5,106
Books,Hale Vintage Cookbook,4606.74,107
Books,Johnson Premium Anthology,4420.82,108
Books,Black Deluxe Cookbook,3724.81,109
Books,Montoya Compact Journal,3121.27,110
Books,Vincent Compact Biography,2825.62,111
Books,Sullivan Classic Novel,2762.45,112
Books,Parks Portable Anthology,2724.53,113
Books,Ruiz Modern Anthology,2658.25,114
Books,Mcbride Eco Anthology,2536.82,115
Books,Williams Deluxe Novel,2312.8,116
Books,Edwards Smart Cookbook,2229.78,117
Books,Jackson Eco Textbook,2138.9,118
Books,Kramer Compact Textbook,2087.32,119
Books,White Portable Encyclopedia,1994.29,120
Books,Perez Premium Biography,1789.39,121
Books,Love Premium Biography,1694.38,122
Books,Romero Ultra Biography,1269.94,123
Books,Hicks Ultra Anthology,1103.23,124
Books,Barnett Classic Novel,852.45,125
Books,Knight Pro Cookbook,798.46,126
Books,Krueger Essential Encyclopedia,656.59,127
Books,Pierce Pro Journal,428.91,128
Books,Taylor Premium Anthology,226.11,129
Books,Hernandez Portable Cookbook,217.72,130
Clothing,Ayala Ultra T-Shirt,57409.55,1
Clothing,Taylor Ultra T-Shirt,51087.09,2
Clothing,Braun Eco Dress,41071.67,3
Clothing,Cannon Portable Cap,38519.44,4
Clothing,Carter Compact Shorts,38269.17,5
Clothing,Goodman Modern Dress,37672.65,6
Clothing,Morgan Premium Sneakers,37568.36,7
Clothing,Walsh Eco Jeans,36475.51,8
Clothing,Gross Deluxe Cap,33582.75,9
Clothing,Tyler Compact Socks,33493.18,10
Clothing,Eaton Ultra Dress,32317.63,11
Clothing,Mccarty Vintage Jacket,29863.61,12
Clothing,Anderson Modern Scarf,29851.62,13
Clothing,Lynn Ultra T-Shirt,28496.74,14
Clothing,Gray Deluxe Hoodie,28313.99,15
Clothing,Wolfe Ultra Cap,28133.57,16
Clothing,Miller Classic T-Shirt,27918.43,17
Clothing,Garrett Smart Sweater,26880.82,18
Clothing,Luna Portable Hoodie,26833.09,19
Clothing,Jenkins Modern Scarf,26512.43,20
Clothing,Serrano Compact Dress,25940.16,21
Clothing,Wilson Vintage Hoodie,25783.52,22
Clothing,Craig Eco Shorts,25446.58,23
Clothing,Valdez Essential Sweater,24395.55,24
Clothing,Sullivan Vintage T-Shirt,24009.02,25
Clothing,Davis Premium Sneakers,23913.0,26
Clothing,Jennings Essential T-Shirt,22244.62,27
Clothing,Ross Compact Hoodie,22155.39,28
Clothing,Hartman Premium Sweater,22062.45,29
Clothing,Brewer Modern Jacket,21808.07,30
Clothing,Cortez Classic Socks,21527.41,31
Clothing,Medina Classic Jeans,21158.09,32
Clothing,Ortiz Eco Cap,20252.5,33
Clothing,Blackwell Portable Scarf,19671.78,34
Clothing,Roth Premium T-Shirt,19387.05,35
Clothing,Harris Ultra Sweater,19260.37,36
Clothing,Schultz Smart Blazer,18864.97,37
Clothing,Sullivan Deluxe Dress,18650.82,38
Clothing,Floyd Ultra Dress,17875.8,39
Clothing,Wilson Deluxe T-Shirt,17500.72,40
Clothing,Owen Eco Cap,17403.09,41
Clothing,Thompson Eco Jeans,17225.39,42
Clothing,Jennings Vintage Cap,16402.53,43
Clothing,Lambert Ultra Socks,16370.06,44
Clothing,Clark Modern Jeans,16128.57,45
Clothing,Sellers Compact Cap,16063.61,46
Clothing,Sparks Pro Scarf,14838.69,47
Clothing,Wilson Premium Shorts,14749.27,48
Clothing,Brock Smart Dress,14568.33,49
Clothing,Lee Compact Socks,14523.13,50
Clothing,Galvan Modern Blazer,14210.46,51
Clothing,Dunn Vintage Sweater,14119.88,52
Clothing,Phillips Vintage Jacket,14066.32,53
Clothing,Greene Ultra T-Shirt,13866.75,54
Clothing,Wilson Deluxe Dress,13462.75,55
Clothing,Jackson Classic Jeans,12794.87,56
Clothing,Todd Ultra Jeans,12578.37,57
Clothing,Ferguson Ultra Cap,11876.85,58
Clothing,Townsend Compact Shorts,11259.4,59
Clothing,Short Portable Shorts,10586.62,60
Clothing,Rodriguez Ultra Hoodie,10248.88,61
Clothing,Lynch Deluxe Sweater,9938.57,62
Clothing,Watson Eco Sneakers,9734.72,63
Clothing,Hopkins Essential Blazer,9606.92,64
Clothing,Bowers Ultra Blazer,9483.17,65
Clothing,Webb Compact Cap,9477.42,66
Clothing,Bailey Premium Jacket,9040.73,67
Clothing,Lane Compact Cap,8694.31,68
Clothing,Gilbert Portable Jacket,8647.11,69
Clothing,Cohen Essential Sneakers,8147.2,70
Clothing,Simmons Deluxe Jacket,7925.74,71
Clothing,Sosa Deluxe Sneakers,7919.1,72
Clothing,Jones Essential Shorts,7837.72,73
Clothing,Jones Smart Shorts,7534.65,74
