order_month,revenue_category,customer_count
2024-07,High,1
2024-07,Medium,4
2024-07,Low,7
2024-08,High,1
2024-08,Medium,3
2024-08,Low,13
2024-09,Medium,4
2024-09,Low,11
2024-10,High,1
2024-10,Medium,8
2024-10,Low,12
2024-11,High,1
2024-11,Medium,6
2024-11,Low,14
2024-12,High,1
2024-12,Medium,10
2024-12,Low,17
2025-01,High,1
2025-01,Medium,10
2025-01,Low,15
2025-02,High,2
2025-02,Medium,13
2025-02,Low,20
2025-03,High,2
2025-03,Medium,9
2025-03,Low,22
2025-04,High,5
2025-04,Medium,11
2025-04,Low,24
2025-05,High,6
2025-05,Medium,12
2025-05,Low,35
2025-06,High,4
2025-06,Medium,18
2025-06,Low,34
2025-07,High,3
2025-07,Medium,20
2025-07,Low,28
2025-08,High,1
2025-08,Medium,18
2025-08,Low,44
2025-09,High,1
2025-09,Medium,21
2025-09,Low,40
2025-10,High,4
2025-10,Medium,31
2025-10,Low,54
2025-11,High,7
2025-11,Medium,22
2025-11,Low,41
2025-12,High,10
2025-12,Medium,30
2025-12,Low,48
2026-01,High,8
2026-01,Medium,27
2026-01,Low,57
2026-02,High,6
2026-02,Medium,22
2026-02,Low,57
2026-03,High,13
2026-03,Medium,35
2026-03,Low,79
2026-04,High,7
2026-04,Medium,42
2026-04,Low,78
2026-05,High,16
2026-05,Medium,40
2026-05,Low,107
2026-06,High,23
2026-06,Medium,62
2026-06,Low,88
2026-07,High,7
2026-07,Medium,16
2026-07,Low,23
