customer_id,total_value,quartile,quartile_label
C0175,39957.83,1,Platinum
C0432,39481.54,1,Platinum
C0366,37804.97,1,Platinum
C0230,34934.99,1,Platinum
C0025,34920.24,1,Platinum
C0160,34843.71,1,Platinum
C0591,34696.93,1,Platinum
C0041,33984.31,1,Platinum
C0110,33791.28,1,Platinum
C0516,33504.64,1,Platinum
C0730,33027.02,1,Platinum
C0289,32254.41,1,Platinum
C0165,31683.67,1,Platinum
C0677,31335.97,1,Platinum
C0761,30590.55,1,Platinum
C0276,30425.92,1,Platinum
C0497,30270.39,1,Platinum
C0552,30034.32,1,Platinum
C0058,29736.92,1,Platinum
C0088,29442.38,1,Platinum
C0679,29418.52,1,Platinum
C0113,29217.58,1,Platinum
C0404,28346.15,1,Platinum
C0528,28237.39,1,Platinum
C0722,28211.71,1,Platinum
C0264,28172.06,1,Platinum
C0176,27633.62,1,Platinum
C0029,26393.03,1,Platinum
C0331,26149.08,1,Platinum
C0329,26046.71,1,Platinum
C0725,25739.07,1,Platinum
C0252,25143.29,1,Platinum
C0100,24915.49,1,Platinum
C0705,24653.32,1,Platinum
C0009,24479.26,1,Platinum
C0663,24332.63,1,Platinum
C0302,24055.17,1,Platinum
C0398,23932.38,1,Platinum
C0756,23542.06,1,Platinum
C0729,23510.96,1,Platinum
C0340,23454.61,1,Platinum
C0745,23319.45,1,Platinum
C0263,23074.61,1,Platinum
C0146,23031.47,1,Platinum
C0333,22795.88,1,Platinum
C0648,22649.95,1,Platinum
C0653,22634.83,1,Platinum
C0623,22500.39,1,Platinum
C0099,22477.06,1,Platinum
C0457,22422.43,1,Platinum
C0675,22267.13,1,Platinum
C0615,22226.06,1,Platinum
C0485,22212.49,1,Platinum
C0789,22139.97,1,Platinum
C0067,22006.45,1,Platinum
C0505,22004.32,1,Platinum
C0225,21941.29,1,Platinum
C0147,21934.39,1,Platinum
C0661,21919.49,1,Platinum
C0086,21874.93,1,Platinum
C0104,21843.23,1,Platinum
C0616,21758.22,1,Platinum
C0352,21519.49,1,Platinum
C0045,21281.25,1,Platinum
C0294,21170.92,1,Platinum
C0188,21090.39,1,Platinum
C0643,21003.4,1,Platinum
C0332,20937.36,1,Platinum
C0093,20706.42,1,Platinum
C0379,20705.69,1,Platinum
C0013,20649.87,1,Platinum
C0701,20621.0,1,Platinum
C0046,20546.57,1,Platinum
C0131,20386.04,1,Platinum
C0383,20270.82,1,Platinum
C0444,20168.27,1,Platinum
C0024,20143.34,1,Platinum
C0645,20031.83,1,Platinum
C0351,19913.66,1,Platinum
C0640,19826.41,1,Platinum
C0293,19791.23,1,Platinum
C0793,19775.47,1,Platinum
C0714,19735.55,1,Platinum
C0031,19714.39,1,Platinum
C0324,19684.01,1,Platinum
C0232,19677.68,1,Platinum
C0549,19658.59,1,Platinum
C0495,19363.52,1,Platinum
C0699,19224.69,1,Platinum
C0319,19219.7,1,Platinum
C0716,19178.17,1,Platinum
C0291,19152.79,1,Platinum
C0111,19151.33,1,Platinum
C0166,19080.55,1,Platinum
C0197,19063.32,1,Platinum
C0727,19023.05,1,Platinum
C0070,18903.06,1,Platinum
C0622,18855.82,1,Platinum
C0226,18824.53,1,Platinum
C0056,18738.9,1,Platinum
C0084,18697.71,1,Platinum
C0664,18636.31,1,Platinum
C0780,18406.38,1,Platinum
C0769,18399.81,1,Platinum
C0650,18217.64,1,Platinum
C0726,18079.69,1,Platinum
C0266,18032.16,1,Platinum
C0037,18000.76,1,Platinum
C0091,17946.94,1,Platinum
C0016,17791.31,1,Platinum
C0613,17768.06,1,Platinum
C0394,17759.04,1,Platinum
C0051,17641.82,1,Platinum
C0267,17627.47,1,Platinum
C0259,17598.72,1,Platinum
C0371,17456.15,1,Platinum
C0401,17434.55,1,Platinum
C0498,17345.19,1,Platinum
C0186,17284.61,1,Platinum
C0674,17280.94,1,Platinum
C0182,17201.49,1,Platinum
C0141,17087.1,1,Platinum
C0428,17047.61,1,Platinum
C0173,17025.92,1,Platinum
C0077,16974.65,1,Platinum
C0689,16921.69,1,Platinum
C0003,16859.38,1,Platinum
C0116,16852.51,1,Platinum
C0592,16781.57,1,Platinum
C0156,16737.15,1,Platinum
C0107,16719.75,1,Platinum
C0347,16654.79,1,Platinum
C0076,16619.39,1,Platinum
C0303,16598.47,1,Platinum
C0386,16583.11,1,Platinum
C0028,16517.14,1,Platinum
C0433,16482.14,1,Platinum
C0788,16388.57,1,Platinum
C0399,16350.77,1,Platinum
C0279,16298.88,1,Platinum
C0715,16195.09,1,Platinum
C0778,16113.64,1,Platinum
C0534,16095.05,1,Platinum
C0483,16087.72,1,Platinum
C0081,15927.84,1,Platinum
C0620,15903.42,1,Platinum
C0313,15885.31,1,Platinum
C0601,15762.57,1,Platinum
C0317,15744.34,1,Platinum
C0572,15741.02,1,Platinum
C0185,15708.44,1,Platinum
C0245,15650.18,1,Platinum
C0785,15628.54,1,Platinum
C0312,15464.35,1,Platinum
C0739,15426.42,1,Platinum
C0751,15414.55,1,Platinum
C0501,15394.1,1,Platinum
C0370,15383.76,1,Platinum
C0262,15243.57,1,Platinum
C0608,15186.99,1,Platinum
