year,month,revenue,prev_year_revenue,yoy_growth_percent
2024,7,54517.24,,
2024,8,56876.85,,
2024,9,61904.94,,
2024,10,92065.99,,
2024,11,88777.64,,
2024,12,132187.67,,
2025,1,119207.83,,
2025,2,153369.67,,
2025,3,152083.97,,
2025,4,197252.77,,
2025,5,248227.04,,
2025,6,251056.38,,
2025,7,252100.1,54517.24,362.42
2025,8,234936.96,56876.85,313.06
2025,9,273907.7,61904.94,342.47
2025,10,395169.59,92065.99,329.22
2025,11,355313.36,88777.64,300.23
2025,12,465995.87,132187.67,252.53
2026,1,446226.76,119207.83,274.33
2026,2,374603.11,153369.67,144.25
2026,3,598312.42,152083.97,293.41
2026,4,586788.99,197252.77,197.48
2026,5,755208.37,248227.04,204.24
2026,6,955475.64,251056.38,280.58
2026,7,265519.65,252100.1,5.32
