customer_id,first_category,most_recent_category,category_shift
C0001,Clothing,Books,Yes
C0003,Books,Electronics,Yes
C0004,Electronics,Clothing,Yes
C0005,Electronics,Electronics,No
C0006,Clothing,Clothing,No
C0008,Electronics,Books,Yes
C0009,Books,Electronics,Yes
C0010,Books,Clothing,Yes
C0011,Books,Home,Yes
C0012,Books,Home,Yes
C0013,Electronics,Home,Yes
C0014,Clothing,Books,Yes
C0015,Clothing,Home,Yes
C0016,Electronics,Clothing,Yes
C0017,Home,Electronics,Yes
C0019,Clothing,Home,Yes
C0020,Home,Clothing,Yes
C0021,Home,Home,No
C0022,Books,Home,Yes
C0023,Clothing,Clothing,No
C0024,Electronics,Electronics,No
C0025,Books,Home,Yes
C0026,Books,Electronics,Yes
C0027,Home,Books,Yes
C0028,Books,Clothing,Yes
C0029,Books,Books,No
C0030,Clothing,Electronics,Yes
C0031,Home,Home,No
C0032,Clothing,Home,Yes
C0033,Clothing,Home,Yes
C0034,Electronics,Electronics,No
C0036,Home,Home,No
C0037,Electronics,Electronics,No
C0038,Home,Books,Yes
C0039,Books,Electronics,Yes
C0040,Clothing,Books,Yes
C0041,Clothing,Electronics,Yes
C0042,Clothing,Home,Yes
C0043,Home,Books,Yes
C0044,Books,Clothing,Yes
C0045,Clothing,Clothing,No
C0046,Electronics,Electronics,No
C0047,Home,Electronics,Yes
C0048,Electronics,Clothing,Yes
C0050,Clothing,Home,Yes
C0051,Home,Home,No
C0053,Books,Electronics,Yes
C0054,Books,Home,Yes
C0055,Home,Clothing,Yes
C0056,Electronics,Home,Yes
C0057,Clothing,Books,Yes
C0058,Home,Electronics,Yes
C0059,Home,Home,No
C0060,Electronics,Home,Yes
C0061,Clothing,Clothing,No
C0062,Home,Clothing,Yes
C0063,Clothing,Clothing,No
C0064,Clothing,Electronics,Yes
C0065,Electronics,Books,Yes
C0066,Home,Clothing,Yes
C0067,Home,Books,Yes
C0068,Electronics,Electronics,No
C0069,Home,Home,No
C0070,Home,Home,No
C0072,Electronics,Electronics,No
C0073,Home,Home,No
C0074,Books,Books,No
C0075,Electronics,Electronics,No
C0076,Clothing,Electronics,Yes
C0077,Clothing,Electronics,Yes
C0078,Electronics,Books,Yes
C0079,Books,Home,Yes
C0081,Electronics,Clothing,Yes
C0082,Home,Home,No
C0083,Electronics,Home,Yes
C0084,Clothing,Electronics,Yes
C0085,Books,Electronics,Yes
C0086,Books,Books,No
C0087,Books,Clothing,Yes
C0088,Electronics,Books,Yes
C0090,Home,Clothing,Yes
C0091,Home,Books,Yes
C0092,Home,Home,No
C0093,Books,Home,Yes
C0094,Books,Books,No
C0095,Clothing,Clothing,No
C0096,Books,Books,No
C0098,Electronics,Electronics,No
C0099,Books,Books,No
C0100,Books,Home,Yes
C0101,Clothing,Clothing,No
C0102,Clothing,Clothing,No
C0103,Books,Home,Yes
C0104,Home,Home,No
C0105,Clothing,Clothing,No
C0106,Home,Books,Yes
C0107,Clothing,Home,Yes
C0109,Clothing,Clothing,No
C0110,Books,Electronics,Yes
C0111,Home,Home,No
C0112,Books,Home,Yes
C0113,Clothing,Electronics,Yes
C0114,Home,Electronics,Yes
C0116,Electronics,Home,Yes
C0117,Electronics,Home,Yes
C0118,Electronics,Clothing,Yes
C0120,Books,Books,No
C0121,Clothing,Home,Yes
C0122,Clothing,Clothing,No
C0123,Books,Electronics,Yes
C0124,Electronics,Home,Yes
C0125,Home,Clothing,Yes
C0126,Home,Home,No
C0127,Home,Home,No
C0128,Clothing,Books,Yes
C0129,Home,Books,Yes
C0130,Electronics,Home,Yes
C0131,Home,Electronics,Yes
C0133,Electronics,Clothing,Yes
C0134,Home,Home,No
C0135,Clothing,Home,Yes
C0136,Home,Electronics,Yes
C0137,Books,Electronics,Yes
C0138,Books,Electronics,Yes
C0139,Electronics,Books,Yes
C0140,Clothing,Books,Yes
C0141,Electronics,Books,Yes
C0142,Electronics,Books,Yes
C0143,Home,Home,No
C0144,Home,Electronics,Yes
C0146,Electronics,Home,Yes
C0147,Clothing,Home,Yes
C0148,Electronics,Electronics,No
C0149,Clothing,Books,Yes
C0150,Clothing,Home,Yes
C0151,Home,Home,No
C0152,Clothing,Electronics,Yes
C0153,Clothing,Books,Yes
C0154,Home,Home,No
C0155,Clothing,Clothing,No
C0156,Electronics,Books,Yes
C0157,Electronics,Clothing,Yes
C0158,Electronics,Electronics,No
C0159,Electronics,Books,Yes
C0160,Clothing,Home,Yes
C0161,Home,Electronics,Yes
C0162,Books,Electronics,Yes
C0163,Electronics,Electronics,No
C0164,Clothing,Books,Yes
C0165,Home,Books,Yes
C0166,Books,Home,Yes
C0167,Electronics,Electronics,No
C0168,Books,Home,Yes
C0169,Clothing,Clothing,No
C0170,Home,Clothing,Yes
C0171,Electronics,Clothing,Yes
C0172,Electronics,Electronics,No
C0173,Books,Clothing,Yes
C0174,Clothing,Clothing,No
C0175,Home,Clothing,Yes
C0176,Books,Electronics,Yes
C0177,Clothing,Clothing,No
C0178,Clothing,Books,Yes
C0179,Clothing,Electronics,Yes
C0180,Books,Home,Yes
C0181,Electronics,Electronics,No
C0182,Clothing,Electronics,Yes
C0183,Books,Electronics,Yes
C0184,Books,Home,Yes
C0185,Clothing,Home,Yes
C0186,Clothing,Electronics,Yes
C0187,Electronics,Electronics,No
C0188,Home,Electronics,Yes
C0190,Electronics,Clothing,Yes
C0191,Electronics,Electronics,No
C0192,Home,Clothing,Yes
C0193,Electronics,Clothing,Yes
C0194,Electronics,Electronics,No
C0195,Books,Electronics,Yes
C0196,Electronics,Books,Yes
C0197,Electronics,Home,Yes
C0198,Books,Clothing,Yes
C0199,Electronics,Clothing,Yes
C0200,Home,Home,No
C0201,Electronics,Electronics,No
C0203,Electronics,Home,Yes
C0204,Electronics,Books,Yes
C0205,Clothing,Electronics,Yes
C0206,Books,Clothing,Yes
C0207,Home,Home,No
C0208,Clothing,Home,Yes
C0209,Clothing,Electronics,Yes
C0211,Home,Home,No
