customer_id,revenue,cumulative_revenue,cumulative_percent,customer_percentile
C0175,39957.83,39957.83,0.55,0.14
C0432,39481.54,79439.38,1.1,0.28
C0366,37804.97,117244.34,1.63,0.42
C0230,34934.99,152179.34,2.11,0.56
C0025,34920.24,187099.57,2.59,0.71
C0160,34843.71,221943.29,3.08,0.85
C0591,34696.93,256640.21,3.56,0.99
C0041,33984.31,290624.52,4.03,1.13
C0110,33791.28,324415.8,4.5,1.27
C0516,33504.64,357920.44,4.96,1.41
C0730,33027.02,390947.45,5.42,1.55
C0289,32254.41,423201.86,5.87,1.69
C0165,31683.67,454885.53,6.31,1.83
C0677,31335.97,486221.5,6.74,1.97
C0761,30590.55,516812.05,7.16,2.12
C0276,30425.92,547237.97,7.59,2.26
C0497,30270.39,577508.36,8.01,2.4
C0552,30034.32,607542.68,8.42,2.54
C0058,29736.92,637279.59,8.83,2.68
C0088,29442.38,666721.98,9.24,2.82
C0679,29418.52,696140.49,9.65,2.96
C0113,29217.58,725358.07,10.06,3.1
C0404,28346.15,753704.22,10.45,3.24
C0528,28237.39,781941.62,10.84,3.39
C0722,28211.71,810153.32,11.23,3.53
C0264,28172.06,838325.38,11.62,3.67
C0176,27633.62,865959.0,12.0,3.81
C0029,26393.03,892352.03,12.37,3.95
C0331,26149.08,918501.11,12.73,4.09
C0329,26046.71,944547.82,13.09,4.23
C0725,25739.07,970286.89,13.45,4.37
C0252,25143.29,995430.17,13.8,4.51
C0100,24915.49,1020345.67,14.14,4.65
C0705,24653.32,1044998.99,14.49,4.8
C0009,24479.26,1069478.25,14.83,4.94
C0663,24332.63,1093810.88,15.16,5.08
C0302,24055.17,1117866.05,15.5,5.22
C0398,23932.38,1141798.44,15.83,5.36
C0756,23542.06,1165340.5,16.15,5.5
C0729,23510.96,1188851.46,16.48,5.64
C0340,23454.61,1212306.07,16.81,5.78
C0745,23319.45,1235625.52,17.13,5.92
C0263,23074.61,1258700.13,17.45,6.06
C0146,23031.47,1281731.6,17.77,6.21
C0333,22795.88,1304527.48,18.08,6.35
C0648,22649.95,1327177.43,18.4,6.49
C0653,22634.83,1349812.27,18.71,6.63
C0623,22500.39,1372312.66,19.02,6.77
C0099,22477.06,1394789.72,19.33,6.91
C0457,22422.43,1417212.14,19.65,7.05
C0675,22267.13,1439479.27,19.95,7.19
C0615,22226.06,1461705.33,20.26,7.33
C0485,22212.49,1483917.81,20.57,7.48
C0789,22139.97,1506057.79,20.88,7.62
C0067,22006.45,1528064.24,21.18,7.76
C0505,22004.32,1550068.56,21.49,7.9
C0225,21941.29,1572009.86,21.79,8.04
C0147,21934.39,1593944.25,22.1,8.18
C0661,21919.49,1615863.74,22.4,8.32
C0086,21874.93,1637738.67,22.7,8.46
C0104,21843.23,1659581.9,23.01,8.6
C0616,21758.22,1681340.13,23.31,8.74
C0352,21519.49,1702859.62,23.61,8.89
C0045,21281.25,1724140.87,23.9,9.03
C0294,21170.92,1745311.79,24.19,9.17
C0188,21090.39,1766402.18,24.49,9.31
C0643,21003.4,1787405.57,24.78,9.45
C0332,20937.36,1808342.93,25.07,9.59
C0093,20706.42,1829049.35,25.35,9.73
C0379,20705.69,1849755.04,25.64,9.87
C0013,20649.87,1870404.91,25.93,10.01
C0701,20621.0,1891025.91,26.21,10.16
C0046,20546.57,1911572.49,26.5,10.3
C0131,20386.04,1931958.53,26.78,10.44
C0383,20270.82,1952229.35,27.06,10.58
C0444,20168.27,1972397.62,27.34,10.72
C0024,20143.34,1992540.96,27.62,10.86
C0645,20031.83,2012572.78,27.9,11.0
C0351,19913.66,2032486.44,28.17,11.14
C0640,19826.41,2052312.84,28.45,11.28
C0293,19791.23,2072104.07,28.72,11.42
C0793,19775.47,2091879.55,29.0,11.57
C0714,19735.55,2111615.1,29.27,11.71
C0031,19714.39,2131329.49,29.55,11.85
C0324,19684.01,2151013.5,29.82,11.99
C0232,19677.68,2170691.18,30.09,12.13
C0549,19658.59,2190349.76,30.36,12.27
C0495,19363.52,2209713.28,30.63,12.41
C0699,19224.69,2228937.97,30.9,12.55
C0319,19219.7,2248157.66,31.16,12.69
C0716,19178.17,2267335.83,31.43,12.83
C0291,19152.79,2286488.62,31.7,12.98
C0111,19151.33,2305639.95,31.96,13.12
C0166,19080.55,2324720.5,32.23,13.26
C0197,19063.32,2343783.82,32.49,13.4
C0727,19023.05,2362806.87,32.75,13.54
C0070,18903.06,2381709.93,33.02,13.68
C0622,18855.82,2400565.75,33.28,13.82
C0226,18824.53,2419390.28,33.54,13.96
C0056,18738.9,2438129.19,33.8,14.1
C0084,18697.71,2456826.9,34.06,14.25
C0664,18636.31,2475463.21,34.32,14.39
C0780,18406.38,2493869.59,34.57,14.53
C0769,18399.81,2512269.4,34.83,14.67
C0650,18217.64,2530487.04,35.08,14.81
C0726,18079.69,2548566.73,35.33,14.95
C0266,18032.16,2566598.89,35.58,15.09
C0037,18000.76,2584599.65,35.83,15.23
C0091,17946.94,2602546.6,36.08,15.37
C0016,17791.31,2620337.9,36.32,15.51
C0613,17768.06,2638105.96,36.57,15.66
C0394,17759.04,2655865.0,36.82,15.8
C0051,17641.82,2673506.82,37.06,15.94
C0267,17627.47,2691134.29,37.31,16.08
C0259,17598.72,2708733.01,37.55,16.22
C0371,17456.15,2726189.16,37.79,16.36
C0401,17434.55,2743623.71,38.03,16.5
C0498,17345.19,2760968.9,38.27,16.64
C0186,17284.61,2778253.5,38.51,16.78
C0674,17280.94,2795534.44,38.75,16.93
C0182,17201.49,2812735.94,38.99,17.07
C0141,17087.1,2829823.04,39.23,17.21
C0428,17047.61,2846870.64,39.46,17.35
C0173,17025.92,2863896.56,39.7,17.49
C0077,16974.65,2880871.21,39.94,17.63
C0689,16921.69,2897792.9,40.17,17.77
C0003,16859.38,2914652.28,40.4,17.91
C0116,16852.51,2931504.78,40.64,18.05
C0592,16781.57,2948286.35,40.87,18.19
C0156,16737.15,2965023.51,41.1,18.34
C0107,16719.75,2981743.25,41.33,18.48
C0347,16654.79,2998398.04,41.56,18.62
C0076,16619.39,3015017.43,41.79,18.76
C0303,16598.47,3031615.9,42.03,18.9
C0386,16583.11,3048199.01,42.25,19.04
C0028,16517.14,3064716.15,42.48,19.18
C0433,16482.14,3081198.29,42.71,19.32
C0788,16388.57,3097586.87,42.94,19.46
C0399,16350.77,3113937.64,43.17,19.61
C0279,16298.88,3130236.52,43.39,19.75
C0715,16195.09,3146431.62,43.62,19.89
C0778,16113.64,3162545.26,43.84,20.03
