cohort_month,cohort_customers,month_0,month_1,month_2,month_3,retention_m0_pct,retention_m1_pct,retention_m2_pct,retention_m3_pct
2024-01,17,0,0,0,0,0.0,0.0,0.0,0.0
2024-02,26,0,0,0,0,0.0,0.0,0.0,0.0
2024-03,27,0,0,0,0,0.0,0.0,0.0,0.0
2024-04,31,0,0,0,3,0.0,0.0,0.0,9.7
2024-05,28,0,0,3,2,0.0,0.0,10.7,7.1
2024-06,28,0,2,2,2,0.0,7.1,7.1,7.1
2024-07,22,0,0,3,2,0.0,0.0,13.6,9.1
2024-08,28,1,2,0,4,3.6,7.1,0.0,14.3
2024-09,18,1,1,1,1,5.6,5.6,5.6,5.6
2024-10,17,1,1,2,4,5.9,5.9,11.8,23.5
2024-11,20,0,2,1,4,0.0,10.0,5.0,20.0
2024-12,37,4,5,5,5,10.8,13.5,13.5,13.5
2025-01,34,1,2,1,7,2.9,5.9,2.9,20.6
2025-02,30,2,4,3,4,6.7,13.3,10.0,13.3
2025-03,24,2,2,2,7,8.3,8.3,8.3,29.2
2025-04,34,2,6,5,3,5.9,17.6,14.7,8.8
2025-05,36,4,5,6,4,11.1,13.9,16.7,11.1
2025-06,28,4,2,7,6,14.3,7.1,25.0,21.4
2025-07,17,2,2,1,5,11.8,11.8,5.9,29.4
2025-08,35,8,5,10,8,22.9,14.3,28.6,22.9
2025-09,28,1,10,3,8,3.6,35.7,10.7,28.6
2025-10,36,7,9,10,10,19.4,25.0,27.8,27.8
2025-11,33,4,14,7,8,12.1,42.4,21.2,24.2
2025-12,24,4,8,7,5,16.7,33.3,29.2,20.8
2026-01,32,4,9,11,11,12.5,28.1,34.4,34.4
2026-02,32,8,15,11,10,25.0,46.9,34.4,31.3
2026-03,19,5,8,8,11,26.3,42.1,42.1,57.9
2026-04,24,4,13,16,3,16.7,54.2,66.7,12.5
2026-05,35,17,31,13,0,48.6,88.6,37.1,0.0
