product_a,product_b,times_bought_together
Bell Modern Guidebook,Gordon Ultra Coffee Maker,3
Gray Deluxe Hoodie,Smith Eco Blazer,3
Ryan Eco Mouse,Davis Premium Wall Clock,3
Anderson Classic Laptop,Winters Premium Smartphone,2
Armstrong Deluxe Bookshelf,Galvan Modern Blazer,2
Armstrong Deluxe Bookshelf,Lane Compact Cap,2
Atkinson Ultra Jacket,Carr Ultra Textbook,2
Ayala Ultra T-Shirt,Brennan Smart Encyclopedia,2
Ballard Classic Router,Bowers Ultra Blazer,2
Banks Compact Wall Clock,Mclaughlin Pro Guidebook,2
Bell Modern Guidebook,Haynes Classic Webcam,2
Bernard Modern Router,Gordon Ultra Coffee Maker,2
Bernard Modern Router,Morales Eco Organizer,2
Black Deluxe Cookbook,White Portable Encyclopedia,2
Black Premium Monitor,Bennett Smart Bookshelf,2
Black Premium Monitor,Holmes Pro Vase,2
Black Premium Monitor,Webb Deluxe Dinner Set,2
Black Premium Monitor,Wright Vintage Cookbook,2
Bradley Smart Journal,Simmons Deluxe Jacket,2
Brennan Smart Encyclopedia,Richards Compact Cookware Set,2
Brown Vintage Guidebook,Saunders Pro Cap,2
Cameron Portable Guidebook,Richards Compact Cookware Set,2
Campbell Premium Router,Cox Vintage Router,2
Cannon Portable Cap,Brock Smart Dress,2
Carter Compact Shorts,Atkins Eco Curtains,2
Charles Classic Cookbook,Hernandez Eco Camera,2
Clements Ultra Dinner Set,White Vintage Smartphone,2
Cohen Vintage Textbook,Bailey Portable Bedsheet,2
Coleman Eco Cookbook,Gilbert Portable Jacket,2
Cox Vintage Router,Sosa Deluxe Sneakers,2
Crosby Portable Cookbook,Conrad Classic Tablet,2
Daniels Classic Keyboard,Reyes Essential Monitor,2
Dixon Premium Coffee Maker,Mitchell Essential Cookware Set,2
Evans Premium Organizer,Nichols Modern Cookware Set,2
Evans Premium Organizer,Smith Essential Organizer,2
Fernandez Eco Guidebook,Smith Compact Dress,2
Fernandez Eco Guidebook,Webb Deluxe Dinner Set,2
Figueroa Modern Coffee Maker,Armstrong Deluxe Bookshelf,2
Flores Vintage Laptop,Sanchez Deluxe Power Bank,2
Fox Vintage Webcam,Hill Smart Mouse,2
Fox Vintage Webcam,Holden Compact Dinner Set,2
Fox Vintage Webcam,Leonard Ultra Monitor,2
Fox Vintage Webcam,Richards Compact Cookware Set,2
Fox Vintage Webcam,Sullivan Classic Curtains,2
Fox Vintage Webcam,Welch Premium Dinner Set,2
Frazier Premium Bookshelf,Williams Deluxe Novel,2
George Ultra Coffee Maker,Miller Classic T-Shirt,2
Gonzalez Eco Biography,Stewart Modern Novel,2
Gonzalez Premium Cushion,Saunders Pro Cap,2
Gordon Ultra Coffee Maker,Mclaughlin Pro Guidebook,2
Greene Ultra T-Shirt,Webb Deluxe Dinner Set,2
Hall Ultra Blender,Lynch Deluxe Sweater,2
Hampton Classic Encyclopedia,Mitchell Essential Cookware Set,2
Hansen Vintage Textbook,Cohen Vintage Textbook,2
Hanson Compact Vase,Fisher Portable Vase,2
Hanson Compact Vase,Miller Classic T-Shirt,2
Hartman Compact Webcam,Haynes Classic Webcam,2
Hill Smart Mouse,Spencer Essential Comic Book,2
Hoffman Deluxe Coffee Maker,Taylor Ultra T-Shirt,2
Jackson Ultra Comic Book,Smith Compact Dress,2
James Classic Bedsheet,Carr Ultra Textbook,2
James Premium Guidebook,Baker Deluxe Laptop,2
James Premium Guidebook,Hammond Pro Sneakers,2
Jennings Essential T-Shirt,Fields Premium Wall Clock,2
Johns Portable Textbook,Miller Classic T-Shirt,2
Johnson Premium Anthology,Padilla Premium Bookshelf,2
Johnston Modern Cushion,Baker Smart Keyboard,2
Johnston Modern Cushion,Lee Ultra Hoodie,2
Jones Compact Biography,Ochoa Premium Mouse,2
Jones Compact Biography,Thomas Eco Smartwatch,2
Jones Eco Scarf,Long Vintage Blender,2
Jones Pro Biography,Vincent Eco Smartwatch,2
Joseph Vintage Novel,Greene Ultra T-Shirt,2
Juarez Ultra Cap,Morgan Premium Sneakers,2
Kelley Essential Laptop,Hunt Classic Monitor,2
Kent Smart Mouse,Dixon Premium Coffee Maker,2
King Pro Curtains,Gordon Ultra Coffee Maker,2
King Pro Curtains,Gutierrez Portable Earbuds,2
Lambert Smart Charger,White Portable Encyclopedia,2
Lambert Ultra Socks,Ross Modern Bookshelf,2
Lewis Eco Vase,Robinson Eco Novel,2
Lewis Eco Vase,Spencer Essential Comic Book,2
Logan Portable Biography,Leon Classic Speaker,2
Logan Portable Biography,Rowe Modern Tablet,2
Lynch Deluxe Sweater,Miller Classic T-Shirt,2
May Portable Keyboard,Moore Deluxe Biography,2
Mcintosh Portable Anthology,Luna Portable Hoodie,2
Miller Compact Earbuds,Whitehead Compact Camera,2
Mitchell Essential Cookware Set,Lee Ultra Hoodie,2
Mitchell Pro Encyclopedia,Powell Portable Dress,2
Montgomery Pro Bedsheet,Morales Eco Organizer,2
Montgomery Pro Bedsheet,Scott Ultra Cookware Set,2
Montoya Compact Journal,Smith Portable Speaker,2
Montoya Vintage Biography,Hopkins Essential Camera,2
Moore Compact Textbook,Anderson Classic Laptop,2
Moore Portable Blender,Braun Eco Dress,2
Moore Portable Headphones,Brennan Smart Encyclopedia,2
Moore Portable Headphones,Hansen Vintage Textbook,2
Nielsen Premium Smartphone,Dunn Vintage Sweater,2
Pierce Pro Journal,Taylor Portable Comic Book,2
Poole Pro Power Bank,Eaton Ultra Dress,2
Rivera Eco Tablet,Cannon Portable Cap,2
Rivera Eco Tablet,Thomas Ultra Bedsheet,2
Roberts Eco Textbook,Bennett Smart Bookshelf,2
Robinson Eco Curtains,Kelley Essential Laptop,2
Roth Premium T-Shirt,Velez Premium Novel,2
Sanford Pro Monitor,Hudson Smart Organizer,2
Scott Vintage Textbook,Craig Eco Shorts,2
Sellers Compact Cap,Anderson Modern Scarf,2
Sims Classic Headphones,Richards Compact Cookware Set,2
Sims Ultra Earbuds,Lee Compact Socks,2
Smith Classic Charger,Vasquez Ultra Tablet,2
Smith Essential Organizer,King Pro Curtains,2
Soto Deluxe Power Bank,Logan Portable Biography,2
Sparks Pro Scarf,Rowe Modern Tablet,2
Stephens Compact Comic Book,Lynch Deluxe Sweater,2
Sutton Essential Cap,Young Eco Curtains,2
Thomas Eco Bookshelf,Dixon Premium Coffee Maker,2
Thomas Eco Smartwatch,Frazier Premium Bookshelf,2
Tyler Compact Socks,Braun Eco Dress,2
Tyler Compact Socks,Jackson Ultra Comic Book,2
Velez Premium Novel,Robinson Portable Smartwatch,2
Ware Pro Comic Book,Sullivan Classic Novel,2
Welch Premium Dinner Set,Hill Smart Mouse,2
Whitehead Compact Camera,Anderson Classic Laptop,2
Williams Pro Cookware Set,Logan Portable Biography,2
Williams Pro Cookware Set,Rowe Modern Tablet,2
Wilson Deluxe T-Shirt,Conrad Classic Tablet,2
Wilson Vintage Bedsheet,Medina Classic Jeans,2
Wong Pro Socks,Davis Premium Wall Clock,2
Wong Pro Socks,Ryan Eco Mouse,2
Aguilar Pro Scarf,Berry Smart Router,1
Aguilar Pro Scarf,Perez Compact Keyboard,1
Aguilar Ultra Hoodie,Allen Pro Monitor,1
Aguilar Ultra Hoodie,Atkins Eco Curtains,1
Aguilar Ultra Hoodie,Baker Smart Keyboard,1
Aguilar Ultra Hoodie,Cohen Vintage Textbook,1
Aguilar Ultra Hoodie,Conley Smart Blender,1
Aguilar Ultra Hoodie,Garcia Pro Cookware Set,1
Aguilar Ultra Hoodie,Gonzalez Eco Biography,1
Aguilar Ultra Hoodie,Hansen Vintage Textbook,1
Aguilar Ultra Hoodie,Harris Ultra Sweater,1
Aguilar Ultra Hoodie,Hill Smart Mouse,1
Aguilar Ultra Hoodie,Morgan Vintage Hoodie,1
Aguilar Ultra Hoodie,Saunders Pro Cap,1
Aguilar Ultra Hoodie,Sullivan Classic Novel,1
Aguilar Ultra Hoodie,Taylor Premium Anthology,1
Aguirre Compact Power Bank,Guzman Smart Coffee Maker,1
Aguirre Compact Power Bank,Hess Portable Lamp,1
Aguirre Compact Power Bank,Hood Vintage Wall Clock,1
Aguirre Compact Power Bank,Lawrence Ultra Coffee Maker,1
Aguirre Compact Power Bank,Morgan Premium Sneakers,1
Aguirre Compact Power Bank,Owen Eco Cap,1
Aguirre Compact Power Bank,Reed Classic Textbook,1
Aguirre Compact Power Bank,Sosa Deluxe Sneakers,1
Aguirre Compact Power Bank,Walker Modern Cookware Set,1
Allen Compact Atlas,Arias Modern Shorts,1
Allen Compact Atlas,Atkinson Ultra Jacket,1
Allen Compact Atlas,Davidson Compact Coffee Maker,1
Allen Compact Atlas,Dunn Vintage Sweater,1
Allen Compact Atlas,Garcia Classic Comic Book,1
Allen Compact Atlas,Graham Essential Wall Clock,1
Allen Compact Atlas,Hernandez Portable Cookbook,1
Allen Compact Atlas,Hess Portable Lamp,1
Allen Compact Atlas,Mccarty Vintage Jacket,1
Allen Compact Atlas,Moody Compact Socks,1
Allen Compact Atlas,Nielsen Eco Journal,1
Allen Compact Atlas,Rowe Modern Tablet,1
Allen Compact Atlas,Sanchez Essential Monitor,1
Allen Compact Atlas,Thomas Ultra Bedsheet,1
Allen Compact Atlas,Ward Pro Textbook,1
Allen Compact Atlas,Williams Premium Mouse,1
